second interval,request count,mean response
0,92,74
1,270,28
2,245,32
3,294,26
4,289,27
5,257,29
6,285,27
7,283,26
8,271,28
9,295,26
10,353,22
11,295,24
12,312,24
13,309,23
14,295,25
15,264,27
16,253,29
17,285,27
18,296,26
19,308,24
20,312,26
21,275,23
22,288,23
23,281,27
24,287,26
25,305,24
26,274,26
27,295,26
28,317,23
29,279,26
30,282,27
31,283,27
32,295,27
33,296,22
34,277,28
35,280,26
36,274,27
37,281,28
38,285,26
39,314,25
40,317,25
41,312,26
42,315,25
43,301,20
44,288,25
45,298,25
46,270,28
47,279,26
48,313,23
49,314,24
50,278,27
51,312,24
52,292,26
53,304,26
54,286,25
55,321,24
56,302,25
57,281,25
58,282,25
59,304,25
60,302,24
61,302,25
62,302,26
63,312,24
64,297,25
65,308,21
66,307,24
67,307,24
68,292,26
69,310,24
70,308,23
71,475,15
72,334,23
73,224,40
74,238,32
75,290,28
76,256,24
77,262,28
78,252,30
79,243,30
80,312,24
81,278,26
82,287,27
83,297,27
84,335,24
85,325,24
86,312,19
87,279,27
88,311,24
89,283,26
90,343,21
91,305,23
92,309,24
93,287,26
94,326,23
95,318,24
96,315,24
97,314,24
98,293,26
99,291,26
100,299,25
101,427,18
102,536,14
103,546,14
104,490,15
105,467,16
106,449,17
107,470,16
108,520,14
109,541,14
110,533,14
111,519,14
112,523,14
113,525,14
114,511,15
115,528,14
116,535,14
117,950,18
118,1839,17
119,1859,16
120,1954,16
121,1855,16
122,1919,16
123,1881,16
124,1898,16
125,1971,15
126,1931,16
127,1805,17
128,1968,15
129,1976,15
130,1842,17
131,1936,16
132,1889,16
133,1968,16
134,1973,16
135,1939,16
136,1948,16
137,1924,16
138,1907,16
139,1930,16
140,1645,19
141,816,39
142,849,37
143,877,36
144,931,33
145,982,34
146,944,35
147,939,31
148,1100,28
149,1135,28
150,1057,29
151,1032,30
152,994,31
153,1022,31
154,1155,27
155,1105,28
156,1277,24
157,1091,29
158,1186,26
159,1189,26
160,1102,27
161,1002,31
162,1134,28
163,1125,27
164,1018,31
165,1086,30
166,1120,28
167,1196,27
168,1038,31
169,1187,22
170,1962,16
171,1912,16
172,1836,17
173,1910,16
174,1861,17
175,1937,16
176,1959,16
177,1819,17
178,1894,16
179,1748,18
180,1752,17
181,1871,16
182,1852,16
183,1894,16
184,1910,16
185,1881,16
186,1909,16
187,1889,16
188,2120,15
189,1952,16
190,1936,16
191,1942,16
192,1759,16
193,223,14
